sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse,run
traj1659_snap47,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.0637346059083938,0.0261548887938261,2.850667260645423e-05,0.0205284133553504,0.0415775291621685,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128
traj1717_snap6,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.0584607347846031,0.0186759941279888,3.4879361919593066e-05,0.018780417740345,0.0331886671483516,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128
traj1691_snap5,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.0669170767068862,0.0252597630023956,3.09506431221962e-05,0.0196043085306882,0.0441407486796379,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128
traj1672_snap19,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.0736259669065475,0.0303574539721012,2.7281033908366226e-05,0.021307535469532,0.0531544648110866,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128
traj1672_snap22,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.0757033377885818,0.0311691891402006,2.6516323487157933e-05,0.0221200231462717,0.0529371127486228,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128
traj1650_snap15,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.0512381568551063,0.0214938819408416,2.7054240490542725e-05,0.014738954603672,0.036440622061491,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128
traj1713_snap12,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.0624531581997871,0.0159463193267583,4.572743273456581e-05,0.0216274391859769,0.0274013187736272,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128
traj1651_snap33,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.0588034242391586,0.0150388032197952,4.464291123440489e-05,0.0194193851202726,0.025219677016139,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128
traj1627_snap36,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.0552336201071739,0.0216198191046714,2.787716402963269e-05,0.0172204058617353,0.0370315127074718,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128
traj1676_snap25,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.0667610317468643,0.0276444070041179,2.746197242231574e-05,0.0198038760572671,0.0480534359812736,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128
